ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
15038696,中古マンション等,,15103,新潟県,新潟市中央区,西大畑町,新潟,30分?60分,３ＬＤＫ,50,,,,昭和48年,ＲＣ,住宅,,,,,,,,2011年第４四半期,改装済,,6.6020599913279625
15050187,中古マンション等,,15103,新潟県,新潟市中央区,万代,新潟,7,１ＤＫ,25,,,,昭和56年,ＳＲＣ,住宅,,,,,商業地域,80.0,600.0,2012年第１四半期,改装済,,6.568201724066995
15005004,中古マンション等,,15103,新潟県,新潟市中央区,西堀前通,新潟,28,,80,,,,平成14年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,600.0,2016年第１四半期,,,7.230448921378274
15033698,中古マンション等,,15103,新潟県,新潟市中央区,天神,新潟,4,２ＬＤＫ,60,,,,平成22年,ＲＣ,住宅,,,,,商業地域,80.0,600.0,2010年第１四半期,未改装,,7.414973347970818
15033739,中古マンション等,,15103,新潟県,新潟市中央区,天神,,,２ＬＤＫ,85,,,,平成22年,ＲＣ,住宅,,,,,,,,2010年第１四半期,,,7.568201724066995
15006565,中古マンション等,,15103,新潟県,新潟市中央区,寄居町,新潟,30分?60分,１ＬＤＫ,70,,,,平成18年,,,その他,,,,近隣商業地域,80.0,400.0,2019年第４四半期,改装済,,7.301029995663981
15040937,中古マンション等,,15107,新潟県,新潟市西区,有明町,小針,14,,50,,,,平成6年,ＳＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2014年第３四半期,改装済,,6.886490725172482
15005976,中古マンション等,,15103,新潟県,新潟市中央区,南笹口,新潟,8,３ＬＤＫ,90,,,,昭和64年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2016年第２四半期,,,7.230448921378274
15009720,中古マンション等,,15107,新潟県,新潟市西区,青山,青山(新潟),8,３ＬＤＫ,60,,,,昭和51年,ＳＲＣ,住宅,住宅,,,,第２種住居地域,60.0,200.0,2017年第４四半期,改装済,,6.812913356642856
15031012,中古マンション等,,15103,新潟県,新潟市中央区,医学町通,白山(新潟),12,１Ｒ,20,,,,昭和51年,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2014年第２四半期,改装済,,6.3979400086720375
15050679,中古マンション等,,15103,新潟県,新潟市中央区,南笹口,新潟,18,３ＬＤＫ,75,,,,平成13年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2012年第３四半期,改装済,,7.278753600952829
15003960,中古マンション等,,15103,新潟県,新潟市中央区,幸町,新潟,19,３ＬＤＫ,70,,,,平成10年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2017年第３四半期,改装済,,7.301029995663981
15011975,中古マンション等,,15107,新潟県,新潟市西区,東青山,青山(新潟),13,３ＬＤＫ,70,,,,,,,住宅,,,,第２種中高層住居専用地域,60.0,200.0,2018年第１四半期,未改装,,7.3222192947339195
15034851,中古マンション等,,15103,新潟県,新潟市中央区,東堀通,新潟,30分?60分,１ＬＤＫ,55,,,,昭和54年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2010年第４四半期,改装済,,6.929418925714293
