ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
33051068,中古マンション等,,33101,岡山県,岡山市北区,上中野,大元,18,３ＬＤＫ,70,,,,平成8年,ＲＣ,住宅,,,,,第２種住居地域,60.0,200.0,2008年第２四半期,未改装,,7.146128035678238
33008801,中古マンション等,,33104,岡山県,岡山市南区,米倉,備前西市,16,２ＬＤＫ,60,,,,平成5年,ＲＣ,,住宅,,,,準工業地域,60.0,200.0,2018年第３四半期,,,6.903089986991944
33003399,中古マンション等,,33101,岡山県,岡山市北区,奉還町,岡山,11,１ＤＫ,55,,,,平成22年,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2016年第１四半期,未改装,,7.2552725051033065
33035499,中古マンション等,,33101,岡山県,岡山市北区,田町,岡山,11,,20,,,,,ＲＣ,住宅,,,,,商業地域,,,2012年第２四半期,,,6.2552725051033065
33003778,中古マンション等,,33101,岡山県,岡山市北区,柳町,岡山,18,オープンフロア,30,,,,昭和56年,ＳＲＣ、ＲＣ,,店舗,,,,商業地域,80.0,500.0,2017年第４四半期,未改装,,6.778151250383644
33004525,中古マンション等,,33102,岡山県,岡山市中区,樶,高島(岡山),18,４ＬＤＫ,75,,,,平成21年,ＲＣ,,住宅,,,,第１種住居地域,60.0,200.0,2019年第２四半期,未改装,,7.079181246047625
33026128,中古マンション等,,33101,岡山県,岡山市北区,表町,岡山,20,３ＬＤＫ,85,,,,平成10年,ＳＲＣ、ＲＣ,住宅,,,,,商業地域,80.0,500.0,2010年第３四半期,改装済,,7.301029995663981
33002467,中古マンション等,,33101,岡山県,岡山市北区,七日市西町,大元,30分?60分,３ＬＤＫ,65,,,,平成3年,ＳＲＣ,住宅,その他,,,,準工業地域,60.0,200.0,2016年第４四半期,未改装,,6.6020599913279625
33035839,中古マンション等,,33101,岡山県,岡山市北区,中山下,岡山,13,３ＬＤＫ,70,,,,平成18年,ＲＣ,住宅,,,,,商業地域,80.0,600.0,2012年第３四半期,未改装,,7.447158031342219
33008945,中古マンション等,,33202,岡山県,倉敷市,石見町,倉敷,3,,50,,,,昭和55年,ＲＣ,住宅,,,,,第２種住居地域,60.0,200.0,2016年第４四半期,,,6.826074802700826
33008971,中古マンション等,,33202,岡山県,倉敷市,老松町,倉敷,15,３ＬＤＫ,65,,,,平成3年,ＳＲＣ,住宅,その他,,,,近隣商業地域,80.0,300.0,2019年第４四半期,未改装,調停・競売等,6.944482672150168
33010079,中古マンション等,,33202,岡山県,倉敷市,幸町,倉敷,11,１ＬＤＫ,75,,,,平成23年,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2018年第１四半期,未改装,,7.361727836017593
33032578,中古マンション等,,33202,岡山県,倉敷市,阿知,倉敷,1,オープンフロア,100,,,,昭和55年,ＳＲＣ,店舗,,,,,商業地域,80.0,600.0,2011年第３四半期,,,6.698970004336019
33046409,中古マンション等,,33101,岡山県,岡山市北区,野田,北長瀬,19,３ＬＤＫ,65,,,,平成10年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2009年第１四半期,改装済,,7.113943352306837
33008944,中古マンション等,,33202,岡山県,倉敷市,石見町,倉敷,3,,50,,,,昭和55年,ＳＲＣ,住宅,,,,,第２種住居地域,60.0,200.0,2016年第４四半期,,,6.724275869600789
33051387,中古マンション等,,33101,岡山県,岡山市北区,津島東,法界院,10,１ＬＤＫ,30,,,,昭和60年,ＲＣ,住宅,,,,,第１種低層住居専用地域,50.0,100.0,2007年第２四半期,改装済,,6.3979400086720375
33046953,中古マンション等,,33102,岡山県,岡山市中区,樶,高島(岡山),17,３ＬＤＫ,60,,,,平成12年,ＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2009年第１四半期,未改装,,7.041392685158225
33051646,中古マンション等,,33101,岡山県,岡山市北区,東古松,大元,4,３ＬＤＫ,65,,,,平成13年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2008年第２四半期,改装済,,7.176091259055681
33010084,中古マンション等,,33202,岡山県,倉敷市,幸町,倉敷,14,２ＬＤＫ,50,,,,平成2年,ＳＲＣ,住宅,住宅,,,,近隣商業地域,80.0,400.0,2016年第１四半期,改装済,,6.973127853599698
33053360,中古マンション等,,33104,岡山県,岡山市南区,米倉,備前西市,14,３ＬＤＫ,70,,,,平成5年,ＲＣ,住宅,,,,,準工業地域,60.0,200.0,2007年第３四半期,未改装,調停・競売等,6.8512583487190755
33025564,中古マンション等,,33101,岡山県,岡山市北区,野田,大元,21,３ＬＤＫ,65,,,,平成6年,ＲＣ,住宅,,,,,準工業地域,60.0,200.0,2014年第１四半期,未改装,,7.176091259055681
33010182,中古マンション等,,33202,岡山県,倉敷市,四十瀬,球場前(岡山),6,３ＬＤＫ,75,,,,平成21年,ＲＣ,住宅,住宅,,,,準工業地域,60.0,200.0,2015年第３四半期,未改装,,7.2552725051033065
33002719,中古マンション等,,33101,岡山県,岡山市北区,西古松西町,大元,9,３ＬＤＫ,65,,,,平成2年,ＳＲＣ,住宅,,,,,近隣商業地域,80.0,300.0,2018年第３四半期,,,6.954242509439325
33003119,中古マンション等,,33101,岡山県,岡山市北区,東古松,大元,4,３ＬＤＫ,90,,,,平成12年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2016年第１四半期,未改装,,7.414973347970818
33040075,中古マンション等,,33202,岡山県,倉敷市,玉島爪崎,新倉敷,9,４ＬＤＫ,90,,,,平成16年,ＲＣ,住宅,,,,,近隣商業地域,80.0,200.0,2012年第４四半期,未改装,,7.278753600952829
33051289,中古マンション等,,33101,岡山県,岡山市北区,大供,岡山,18,３ＬＤＫ,90,,,,平成10年,ＳＲＣ,住宅,,,,,商業地域,80.0,500.0,2008年第１四半期,未改装,,7.361727836017593
33012568,中古マンション等,,33202,岡山県,倉敷市,白楽町,倉敷,30分?60分,４ＬＤＫ,85,,,,平成21年,ＲＣ,住宅,住宅,,,,近隣商業地域,80.0,300.0,2017年第４四半期,未改装,,7.3979400086720375
33030399,中古マンション等,,33102,岡山県,岡山市中区,徳吉町,岡山,30分?60分,２ＬＤＫ,65,,,,平成2年,ＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2011年第１四半期,未改装,,6.919078092376074
33025134,中古マンション等,,33101,岡山県,岡山市北区,大元,大元,12,２ＬＤＫ,70,,,,平成10年,ＳＲＣ,住宅,住宅,,,,近隣商業地域,80.0,300.0,2014年第４四半期,未改装,,7.204119982655925
33045681,中古マンション等,,33101,岡山県,岡山市北区,学南町,法界院,6,４ＬＤＫ,85,,,,平成14年,ＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2009年第３四半期,未改装,,7.361727836017593
33025328,中古マンション等,,33101,岡山県,岡山市北区,清心町,岡山,16,２ＬＤＫ,75,,,,平成18年,ＳＲＣ,住宅,住宅,,,,第２種住居地域,60.0,200.0,2014年第４四半期,未改装,,7.462397997898956
