ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
26011946,中古マンション等,,26108,京都府,京都市右京区,西院月双町,西京極,11,３ＬＤＫ,65,,,,平成26年,,,住宅,,,,工業地域,60.0,200.0,2018年第１四半期,未改装,,7.518513939877887
26043026,中古マンション等,,26111,京都府,京都市西京区,桂稲荷山町,桂,11,２ＬＤＫ,50,,,,昭和59年,ＲＣ,住宅,住宅,,,,第２種住居地域,60.0,300.0,2014年第２四半期,未改装,,7.113943352306837
26013345,中古マンション等,,26109,京都府,京都市伏見区,石田大山町,石田(京都市営),6,３ＬＤＫ,60,,,,昭和64年,ＲＣ,住宅,住宅,,,,第１種中高層住居専用地域,60.0,200.0,2018年第４四半期,改装済,,7.146128035678238
26016398,中古マンション等,,26109,京都府,京都市伏見区,南浜学区,伏見桃山,4,,20,,,,昭和64年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2017年第３四半期,改装済,,6.623249290397901
26038873,中古マンション等,,26104,京都府,京都市中京区,西ノ京原町,二条,11,１ＬＤＫ,50,,,,昭和64年,ＲＣ,住宅,,,,,準工業地域,60.0,200.0,2011年第１四半期,未改装,,7.204119982655925
26062823,中古マンション等,,26108,京都府,京都市右京区,西京極豆田町,西京極,4,３ＬＤＫ,55,,,,昭和59年,ＲＣ,住宅,,,,,工業地域,60.0,200.0,2009年第１四半期,未改装,,7.113943352306837
26060060,中古マンション等,,26109,京都府,京都市伏見区,小栗栖森ケ淵町,醍醐(京都),5,３ＬＤＫ,70,,,,平成21年,ＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2013年第４四半期,未改装,,7.301029995663981
26043825,中古マンション等,,26109,京都府,京都市伏見区,深草西浦町,竹田(京都),9,１Ｋ,15,,,,昭和62年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2011年第３四半期,未改装,,6.568201724066995
26059731,中古マンション等,,26108,京都府,京都市右京区,西京極畔勝町,西京極,6,２ＤＫ,40,,,,昭和49年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2013年第３四半期,,,6.812913356642856
26064070,中古マンション等,,26109,京都府,京都市伏見区,向島二ノ丸町,伏見(京都),3,３ＬＤＫ,60,,,,昭和57年,ＳＲＣ,住宅,,,,,第１種中高層住居専用地域,60.0,200.0,2009年第３四半期,未改装,,6.892094602690481
